Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119110-90406,QB,Zach,Zach Wilson,Wilson,0,1,6000,MIA@IND,MIA,IND,,,,,,QB
119110-120105,QB,Will,Will Howard,Howard,,0,6000,PIT@NYJ,PIT,NYJ,Q,Hand,,,,QB
119110-185640,QB,Dresser,Dresser Winn,Winn,0,1,6000,HOU@LAR,LAR,HOU,,,,,,QB
119110-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,11.93000031,2,6000,HOU@LAR,LAR,HOU,,,,,,QB
119110-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,1,6000,TEN@DEN,DEN,TEN,,,,,,QB
119110-103824,QB,Easton,Easton Stick,Stick,9.794285366,7,6000,TB@ATL,ATL,TB,,,,,,QB
119110-151966,QB,Jaxson,Jaxson Dart,Dart,,0,6000,NYG@WAS,NYG,WAS,,,,,,QB
119110-60840,QB,Jake,Jake Browning,Browning,-0.100000001,2,6000,CIN@CLE,CIN,CLE,,,,,,QB
119110-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,TB@ATL,TB,ATL,,,,,,QB
119110-91583,QB,Stetson,Stetson Bennett IV,Bennett IV,0,1,6000,HOU@LAR,LAR,HOU,,,,,,QB
119110-31170,QB,Brandon,Brandon Allen,Allen,2.786666552,3,6000,TEN@DEN,TEN,DEN,,,,,,QB
119110-40407,QB,Joshua,Joshua Dobbs,Dobbs,11.94666672,3,6000,LV@NE,NE,LV,,,,,,QB
119110-90584,QB,Mac,Mac Jones,Jones,10.40800018,10,6000,SF@SEA,SF,SEA,Q,Knee,,,,QB
119110-53729,QB,Mason,Mason Rudolph,Rudolph,11.64444478,9,6000,PIT@NYJ,PIT,NYJ,,,,,,QB
119110-129506,QB,Michael,Michael Pratt,Pratt,,0,6000,TB@ATL,TB,ATL,Q,Back,,,,QB
119110-60947,QB,Jarrett,Jarrett Stidham,Stidham,0.166666667,3,6000,TEN@DEN,DEN,TEN,,,,,,QB
119110-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,HOU@LAR,HOU,LAR,,,,,,QB
119110-22038,QB,Kirk,Kirk Cousins,Cousins,14.38000052,14,6000,TB@ATL,ATL,TB,,,,,,QB
119110-30231,QB,Jacoby,Jacoby Brissett,Brissett,5.78000021,8,6000,ARI@NO,ARI,NO,,,,,,QB
